,uuid,name,sire,dam,sex,alive,plumage,acquired_on,age,coef_inbreeding,p_kinship,p_k_mean
33,9e7627,cobalt_27,purple_92,purple_7,F,0,silver,2021-06-28,NA,-0.0,,0.01748827272727273
34,415c4a,cobalt_32,cobalt_5,cobalt_11,M,0,pied,2021-07-03,NA,-0.0,,0.01748827272727273
35,e27a83,cobalt_33,purple_123,purple_88,F,0,,2021-07-03,NA,-0.0,0.0,0.01748827272727273
36,3707cf,cobalt_34,purple_123,purple_88,F,0,,2021-07-08,NA,-0.0,0.0,0.01748827272727273
37,fc26bf,cobalt_35,purple_128,cobalt_7,M,0,gray,2021-07-13,NA,-0.0,0.0,0.01748827272727273
38,355561,cobalt_36,purple_128,cobalt_7,M,0,,2021-07-14,NA,-0.0,0.0,0.01748827272727273
39,6f3cca,cobalt_43,cobalt_2,purple_81,F,0,,2021-07-15,NA,-0.0,0.0,0.01748827272727273
40,3f8f06,cobalt_48,green_79,purple_82,F,0,fawn,2021-07-19,NA,-0.0,,0.01748827272727273
41,072a9e,cobalt_49,green_79,purple_82,M,0,pied,2021-07-19,NA,-0.0,,0.01748827272727273
42,6be89c,cobalt_50,purple_22,purple_121,M,0,gray,2021-07-26,NA,-0.0,0.0,0.01748827272727273
43,8b3210,cobalt_51,purple_22,purple_121,M,0,gray,2021-07-25,NA,-0.0,0.0,0.01748827272727273
44,7cc921,cobalt_52,purple_22,purple_121,M,0,,2021-07-25,NA,-0.0,0.0,0.01748827272727273
45,e3e3a9,cobalt_54,purple_89,cobalt_8,F,0,gray,2021-07-30,NA,-0.0,0.0,0.01748827272727273
46,ef618d,cobalt_55,purple_89,cobalt_8,M,0,gray,2021-07-29,NA,-0.0,0.0,0.01748827272727273
47,dd6f13,cobalt_57,purple_108,purple_114,M,0,,2021-07-27,NA,-0.0,0.0,0.01748827272727273
48,b7c453,cobalt_58,purple_108,purple_114,F,0,gray,2021-07-28,NA,-0.0,0.0,0.01748827272727273
49,b268c8,cobalt_59,purple_108,purple_114,F,0,,2021-07-30,NA,-0.0,0.0,0.01748827272727273
50,260959,cobalt_73,purple_126,purple_122,F,0,gray,2021-08-24,NA,-0.0,,0.01748827272727273
51,6fbc4d,cobalt_79,purple_104,cobalt_158,F,0,gray,2021-10-09,NA,0.0,,0.01748827272727273
52,b9bf3c,cobalt_80,purple_104,cobalt_158,M,0,gray,2021-10-08,NA,0.0,,0.01748827272727273
53,a77311,cobalt_87,cobalt_3,cobalt_13,M,0,fawn,2021-09-27,NA,-0.0,,0.01748827272727273
54,3fd508,cobalt_98,purple_6,silver_153,M,0,gray,2021-08-30,NA,-0.0,0.0,0.01748827272727273
55,9a09b0,cobalt_110,cobalt_57,purple_174,F,1,fawn,2023-01-11,838.0,0.007812,,0.01748827272727273
56,cec999,cobalt_114,purple_104,cobalt_84,F,1,fawn,2023-02-17,801.0,0.0,,0.01748827272727273
57,097c53,cobalt_117,purple_104,cobalt_84,F,0,gray,2023-02-21,NA,0.0,,0.01748827272727273
58,a9167f,cobalt_122,cobalt_32,ruby_203,M,1,gray,2023-02-09,809.0,-0.0,,0.01748827272727273
